experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp,error
llama3.2_local_baseline_math,llama3.2,math,30,109,109,True,5356.118,2026-01-21T04:29:37.516154,
llama3.2_local_baseline_math,llama3.2,math,31,80,80,True,5332.7390000000005,2026-01-21T04:29:42.848921,
llama3.2_local_baseline_math,llama3.2,math,32,35,35,True,3467.247,2026-01-21T04:29:46.316184,
llama3.2_local_baseline_math,llama3.2,math,33,70,70,True,4484.46,2026-01-21T04:29:50.800673,
llama3.2_local_baseline_math,llama3.2,math,34,23,23,True,3412.48,2026-01-21T04:29:54.213163,
llama3.2_local_baseline_math,llama3.2,math,35,9,9,True,4029.392,2026-01-21T04:29:58.242631,
llama3.2_local_baseline_math,llama3.2,math,36,75,75,True,4289.1050000000005,2026-01-21T04:30:02.531750,
llama3.2_local_baseline_math,llama3.2,math,37,3,2,False,70612.72,2026-01-21T04:31:13.144483,
llama3.2_local_baseline_math,llama3.2,math,38,10,10,True,7422.464,2026-01-21T04:31:20.566994,
llama3.2_local_baseline_math,llama3.2,math,39,18,18,True,9013.085000000001,2026-01-21T04:31:29.580097,
llama3.2_local_baseline_math,llama3.2,math,40,8,8,True,3259.14,2026-01-21T04:31:32.839254,
llama3.2_local_baseline_math,llama3.2,math,41,333.33,200,False,6940.416,2026-01-21T04:31:39.779690,
llama3.2_local_baseline_math,llama3.2,math,42,26,26,True,3683.888,2026-01-21T04:31:43.463631,
llama3.2_local_baseline_math,llama3.2,math,43,240,48,False,6938.687,2026-01-21T04:31:50.402337,
llama3.2_local_baseline_math,llama3.2,math,44,$20.00,20,False,5444.563999999999,2026-01-21T04:31:55.846925,
llama3.2_local_baseline_math,llama3.2,math,45,104,104,True,6753.704,2026-01-21T04:32:02.600693,
llama3.2_local_baseline_math,llama3.2,math,46,163,163,True,5606.486,2026-01-21T04:32:08.207337,
llama3.2_local_baseline_math,llama3.2,math,47,800,800,True,5574.735000000001,2026-01-21T04:32:13.782127,
llama3.2_local_baseline_math,llama3.2,math,48,8,8,True,3266.3959999999997,2026-01-21T04:32:17.048534,
llama3.2_local_baseline_math,llama3.2,math,49,30,30,True,5314.239,2026-01-21T04:32:22.362786,
llama3.2_local_baseline_math,llama3.2,math,50,294,294,True,3843.604,2026-01-21T04:32:26.206407,
llama3.2_local_baseline_math,llama3.2,math,51,5,5,True,47582.104,2026-01-21T04:33:13.788534,
llama3.2_local_baseline_math,llama3.2,math,52,16,15,False,8943.863000000001,2026-01-21T04:33:22.732436,
llama3.2_local_baseline_math,llama3.2,math,53,40,40,True,5086.531,2026-01-21T04:33:27.819006,
llama3.2_local_baseline_math,llama3.2,math,54,55,40,False,3893.3650000000002,2026-01-21T04:33:31.712389,
llama3.2_local_baseline_math,llama3.2,math,55,14,14,True,4123.536,2026-01-21T04:33:35.835944,
llama3.2_local_baseline_math,llama3.2,math,56,3,3,True,4189.515,2026-01-21T04:33:40.025497,
llama3.2_local_baseline_math,llama3.2,math,57,83,83,True,4305.996,2026-01-21T04:33:44.331513,
llama3.2_local_baseline_math,llama3.2,math,58,33,57,False,5955.6810000000005,2026-01-21T04:33:50.287213,
llama3.2_local_baseline_math,llama3.2,math,59,187,187,True,3501.712,2026-01-21T04:33:53.788950,
llama3.2_local_baseline_math,llama3.2,math,60,17,17,True,4734.127,2026-01-21T04:33:58.523099,
llama3.2_local_baseline_math,llama3.2,math,61,1430,1430,True,4226.927,2026-01-21T04:34:02.750052,
llama3.2_local_baseline_math,llama3.2,math,62,75000,25000,False,72787.74900000001,2026-01-21T04:35:15.537814,
llama3.2_local_baseline_math,llama3.2,math,63,1596,1596,True,7553.39,2026-01-21T04:35:23.091233,
llama3.2_local_baseline_math,llama3.2,math,64,300,300,True,4279.025,2026-01-21T04:35:27.370308,
llama3.2_local_baseline_math,llama3.2,math,65,36,36,True,4822.7789999999995,2026-01-21T04:35:32.193097,
llama3.2_local_baseline_math,llama3.2,math,66,44,48,False,5243.495,2026-01-21T04:35:37.436614,
llama3.2_local_baseline_math,llama3.2,math,67,595,595,True,5157.0869999999995,2026-01-21T04:35:42.593740,
llama3.2_local_baseline_math,llama3.2,math,68,36,36,True,4901.985,2026-01-21T04:35:47.495745,
llama3.2_local_baseline_math,llama3.2,math,69,60,60,True,4082.1360000000004,2026-01-21T04:35:51.577897,
llama3.2_local_baseline_math,llama3.2,math,70,7425,7425,True,5018.307,2026-01-21T04:35:56.596239,
llama3.2_local_baseline_math,llama3.2,math,71,60,60,True,3313.234,2026-01-21T04:35:59.909518,
llama3.2_local_baseline_math,llama3.2,math,72,221,221,True,4024.488,2026-01-21T04:36:03.934020,
llama3.2_local_baseline_math,llama3.2,math,73,255,255,True,5132.888,2026-01-21T04:36:09.066936,
llama3.2_local_baseline_math,llama3.2,math,74,85,88,False,6027.811,2026-01-21T04:36:15.094779,
llama3.2_local_baseline_math,llama3.2,math,75,7.5,60,False,4668.012,2026-01-21T04:36:19.762802,
llama3.2_local_baseline_math,llama3.2,math,76,5,5,True,6430.036999999999,2026-01-21T04:36:26.192858,
llama3.2_local_baseline_math,llama3.2,math,77,100,100,True,5168.03,2026-01-21T04:36:31.360913,
llama3.2_local_baseline_math,llama3.2,math,78,6,6,True,5366.841,2026-01-21T04:36:36.727766,
llama3.2_local_baseline_math,llama3.2,math,79,70,70,True,3061.031,2026-01-21T04:36:39.788831,
llama3.2_local_baseline_math,llama3.2,math,80,10,10,True,4377.219,2026-01-21T04:36:44.166068,
llama3.2_local_baseline_math,llama3.2,math,81,17,17,True,4413.072999999999,2026-01-21T04:36:48.579154,
llama3.2_local_baseline_math,llama3.2,math,82,623,623,True,3751.6929999999998,2026-01-21T04:36:52.330863,
llama3.2_local_baseline_math,llama3.2,math,83,600,600,True,3283.3830000000003,2026-01-21T04:36:55.614293,
llama3.2_local_baseline_math,llama3.2,math,84,15,15,True,3924.78,2026-01-21T04:36:59.539111,
llama3.2_local_baseline_math,llama3.2,math,85,44,44,True,3987.099,2026-01-21T04:37:03.526224,
llama3.2_local_baseline_math,llama3.2,math,86,22,22,True,4110.439,2026-01-21T04:37:07.636700,
llama3.2_local_baseline_math,llama3.2,math,87,52558,9360,False,12479.259,2026-01-21T04:37:20.115980,
llama3.2_local_baseline_math,llama3.2,math,88,"8,000",8000,True,4546.369000000001,2026-01-21T04:37:24.662363,
llama3.2_local_baseline_math,llama3.2,math,89,24,24,True,2813.379,2026-01-21T04:37:27.475755,
llama3.2_local_baseline_math,llama3.2,math,90,225,225,True,4724.966,2026-01-21T04:37:32.200734,
llama3.2_local_baseline_math,llama3.2,math,91,28,28,True,4004.5260000000003,2026-01-21T04:37:36.205274,
llama3.2_local_baseline_math,llama3.2,math,92,4,4,True,4448.764999999999,2026-01-21T04:37:40.654101,
llama3.2_local_baseline_math,llama3.2,math,93,10.08,36,False,4516.229,2026-01-21T04:37:45.170342,
llama3.2_local_baseline_math,llama3.2,math,94,168,348,False,4431.587,2026-01-21T04:37:49.601946,
llama3.2_local_baseline_math,llama3.2,math,95,40,40,True,5749.663,2026-01-21T04:37:55.351629,
llama3.2_local_baseline_math,llama3.2,math,96,3,3,True,3542.303,2026-01-21T04:37:58.893963,
llama3.2_local_baseline_math,llama3.2,math,97,12,12,True,7237.656,2026-01-21T04:38:06.131637,
llama3.2_local_baseline_math,llama3.2,math,98,5,5,True,7350.493,2026-01-21T04:38:13.482147,
llama3.2_local_baseline_math,llama3.2,math,99,58,58,True,5314.371,2026-01-21T04:38:18.796536,
llama3.2_local_baseline_math,llama3.2,math,100,175,175,True,5260.885,2026-01-21T04:38:24.057444,
llama3.2_local_baseline_math,llama3.2,math,101,96 / 4 = 24,6,False,4389.102,2026-01-21T04:38:28.446574,
llama3.2_local_baseline_math,llama3.2,math,102,33,26,False,5515.623,2026-01-21T04:38:33.962252,
llama3.2_local_baseline_math,llama3.2,math,103,140.26,140,False,6644.54,2026-01-21T04:38:40.606855,
llama3.2_local_baseline_math,llama3.2,math,104,500,500,True,5132.188,2026-01-21T04:38:45.739067,
llama3.2_local_baseline_math,llama3.2,math,105,20,20,True,3119.632,2026-01-21T04:38:48.858742,
llama3.2_local_baseline_math,llama3.2,math,106,108,72,False,5816.348,2026-01-21T04:38:54.675111,
llama3.2_local_baseline_math,llama3.2,math,107,45,3,False,6577.657999999999,2026-01-21T04:39:01.252816,
llama3.2_local_baseline_math,llama3.2,math,108,50,50,True,4930.986,2026-01-21T04:39:06.183847,
llama3.2_local_baseline_math,llama3.2,math,109,$28.00,28,False,4597.602,2026-01-21T04:39:10.781482,
llama3.2_local_baseline_math,llama3.2,math,110,45,45,True,4788.237999999999,2026-01-21T04:39:15.569734,
llama3.2_local_baseline_math,llama3.2,math,111,600,16,False,7000.92,2026-01-21T04:39:22.570677,
llama3.2_local_baseline_math,llama3.2,math,112,24,24,True,3915.0649999999996,2026-01-21T04:39:26.485788,
llama3.2_local_baseline_math,llama3.2,math,113,25,25,True,2815.323,2026-01-21T04:39:29.301128,
llama3.2_local_baseline_math,llama3.2,math,114,6,6,True,5116.85,2026-01-21T04:39:34.417992,
llama3.2_local_baseline_math,llama3.2,math,115,90,90,True,9525.458999999999,2026-01-21T04:39:43.943463,
llama3.2_local_baseline_math,llama3.2,math,116,42,42,True,7101.568,2026-01-21T04:39:51.045060,
llama3.2_local_baseline_math,llama3.2,math,117,$360,360,False,3102.7740000000003,2026-01-21T04:39:54.147856,
llama3.2_local_baseline_math,llama3.2,math,118,4,4,True,7068.272,2026-01-21T04:40:01.216143,
llama3.2_local_baseline_math,llama3.2,math,119,86769,95200,False,6936.66,2026-01-21T04:40:08.152819,
llama3.2_local_baseline_math,llama3.2,math,120,240,240,True,4140.34,2026-01-21T04:40:12.293183,
llama3.2_local_baseline_math,llama3.2,math,121,27,27,True,4883.204,2026-01-21T04:40:17.176399,
llama3.2_local_baseline_math,llama3.2,math,122,40,48,False,8007.704000000001,2026-01-21T04:40:25.184122,
llama3.2_local_baseline_math,llama3.2,math,123,50,50,True,4953.688,2026-01-21T04:40:30.137852,
llama3.2_local_baseline_math,llama3.2,math,124,10,10,True,3952.4309999999996,2026-01-21T04:40:34.090294,
llama3.2_local_baseline_math,llama3.2,math,125,10,10,True,5383.905000000001,2026-01-21T04:40:39.474216,
llama3.2_local_baseline_math,llama3.2,math,126,82,82,True,3175.23,2026-01-21T04:40:42.649475,
llama3.2_local_baseline_math,llama3.2,math,127,120,120,True,3458.291,2026-01-21T04:40:46.107786,
llama3.2_local_baseline_math,llama3.2,math,128,880,880,True,5894.925,2026-01-21T04:40:52.002731,
llama3.2_local_baseline_math,llama3.2,math,129,"-$26,000",10000,False,9969.319000000001,2026-01-21T04:41:01.972117,
llama3.2_local_baseline_math,llama3.2,math,130,30,30,True,3767.5420000000004,2026-01-21T04:41:05.739723,
llama3.2_local_baseline_math,llama3.2,math,131,940,940,True,3115.716,2026-01-21T04:41:08.855446,
llama3.2_local_baseline_math,llama3.2,math,132,60,60,True,4926.843,2026-01-21T04:41:13.782304,
llama3.2_local_baseline_math,llama3.2,math,133,13,13,True,3978.952,2026-01-21T04:41:17.761278,
llama3.2_local_baseline_math,llama3.2,math,134,720,720,True,3345.328,2026-01-21T04:41:21.106622,
llama3.2_local_baseline_math,llama3.2,math,135,40,40,True,4868.943,2026-01-21T04:41:25.975624,
llama3.2_local_baseline_math,llama3.2,math,136,6,6,True,3543.708,2026-01-21T04:41:29.519342,
llama3.2_local_baseline_math,llama3.2,math,137,$29.00,29,False,6882.521,2026-01-21T04:41:36.401876,
llama3.2_local_baseline_math,llama3.2,math,138,35 + 70 = 105,105,False,7352.947,2026-01-21T04:41:43.754875,
llama3.2_local_baseline_math,llama3.2,math,139,70,70,True,3829.235,2026-01-21T04:41:47.584127,
llama3.2_local_baseline_math,llama3.2,math,140,20,20,True,4812.706,2026-01-21T04:41:52.396851,
llama3.2_local_baseline_math,llama3.2,math,141,400,400,True,5937.37,2026-01-21T04:41:58.334259,
llama3.2_local_baseline_math,llama3.2,math,142,$140,140,False,4123.331,2026-01-21T04:42:02.457607,
llama3.2_local_baseline_math,llama3.2,math,143,$16.00,16,False,8077.460999999999,2026-01-21T04:42:10.535130,
llama3.2_local_baseline_math,llama3.2,math,144,20,20,True,5420.299,2026-01-21T04:42:15.955480,
llama3.2_local_baseline_math,llama3.2,math,145,4000,4000,True,5603.052,2026-01-21T04:42:21.558544,
llama3.2_local_baseline_math,llama3.2,math,146,2125,"2,125",True,4123.964,2026-01-21T04:42:25.682532,
llama3.2_local_baseline_math,llama3.2,math,147,75,75,True,9068.019,2026-01-21T04:42:34.750562,
llama3.2_local_baseline_math,llama3.2,math,148,30,30,True,3667.294,2026-01-21T04:42:38.417894,
llama3.2_local_baseline_math,llama3.2,math,149,16,16,True,3341.003,2026-01-21T04:42:41.758915,
llama3.2_local_baseline_math,llama3.2,math,150,3 minutes and 4 seconds,4,False,8373.589,2026-01-21T04:42:50.132512,
llama3.2_local_baseline_math,llama3.2,math,151,$5,5,False,5702.647,2026-01-21T04:42:55.835173,
llama3.2_local_baseline_math,llama3.2,math,152,4,4,True,3657.1639999999998,2026-01-21T04:42:59.492348,
llama3.2_local_baseline_math,llama3.2,math,153,,,,,2026-01-21T04:46:04.702113,"Expected dict_keys(['reasoning', 'answer']) but got dict_keys(['reasoning'])"
llama3.2_local_baseline_math,llama3.2,math,154,272,272,True,7734.928,2026-01-21T04:46:12.437098,
llama3.2_local_baseline_math,llama3.2,math,155,280,280,True,6103.194,2026-01-21T04:46:18.540305,
llama3.2_local_baseline_math,llama3.2,math,156,1400,1400,True,4087.6720000000005,2026-01-21T04:46:22.627984,
llama3.2_local_baseline_math,llama3.2,math,157,1080,80,False,7473.1050000000005,2026-01-21T04:46:30.101098,
llama3.2_local_baseline_math,llama3.2,math,158,34,34,True,3561.419,2026-01-21T04:46:33.662540,
llama3.2_local_baseline_math,llama3.2,math,159,15,15,True,3224.838,2026-01-21T04:46:36.887387,
llama3.2_local_baseline_math,llama3.2,math,160,16,16,True,3914.576,2026-01-21T04:46:40.801977,
llama3.2_local_baseline_math,llama3.2,math,161,19 + 13 = 32,32,False,5342.609,2026-01-21T04:46:46.144623,
llama3.2_local_baseline_math,llama3.2,math,162,71.65,92,False,11389.457,2026-01-21T04:46:57.534100,
llama3.2_local_baseline_math,llama3.2,math,163,$50,50,False,72568.617,2026-01-21T04:48:10.102746,
llama3.2_local_baseline_math,llama3.2,math,164,15,15,True,6889.972,2026-01-21T04:48:16.992846,
llama3.2_local_baseline_math,llama3.2,math,165,77,77,True,3974.1870000000004,2026-01-21T04:48:20.967052,
llama3.2_local_baseline_math,llama3.2,math,166,5,5,True,3507.107,2026-01-21T04:48:24.474192,
llama3.2_local_baseline_math,llama3.2,math,167,16,16,True,5371.6939999999995,2026-01-21T04:48:29.845902,
llama3.2_local_baseline_math,llama3.2,math,168,18,18,True,2530.862,2026-01-21T04:48:32.376782,
llama3.2_local_baseline_math,llama3.2,math,169,100,120,False,3602.0750000000003,2026-01-21T04:48:35.978871,
llama3.2_local_baseline_math,llama3.2,math,170,150,150,True,4682.976,2026-01-21T04:48:40.661863,
llama3.2_local_baseline_math,llama3.2,math,171,1210,1210,True,4460.8910000000005,2026-01-21T04:48:45.122770,
llama3.2_local_baseline_math,llama3.2,math,172,51,51,True,5031.831,2026-01-21T04:48:50.154616,
llama3.2_local_baseline_math,llama3.2,math,173,18000,18000,True,5800.65,2026-01-21T04:48:55.955283,
llama3.2_local_baseline_math,llama3.2,math,174,95 minutes,95,False,4916.416,2026-01-21T04:49:00.871729,
llama3.2_local_baseline_math,llama3.2,math,175,12.51,15,False,20298.885,2026-01-21T04:49:21.170629,
llama3.2_local_baseline_math,llama3.2,math,176,100,100,True,3402.446,2026-01-21T04:49:24.573125,
llama3.2_local_baseline_math,llama3.2,math,177,600,350,False,7123.932,2026-01-21T04:49:31.697070,
llama3.2_local_baseline_math,llama3.2,math,178,122,122,True,5474.2119999999995,2026-01-21T04:49:37.171294,
llama3.2_local_baseline_math,llama3.2,math,179,130,130,True,3244.404,2026-01-21T04:49:40.415746,
llama3.2_local_baseline_math,llama3.2,math,180,20,20,True,3312.1969999999997,2026-01-21T04:49:43.727958,
llama3.2_local_baseline_math,llama3.2,math,181,160,160,True,4810.582,2026-01-21T04:49:48.538551,
llama3.2_local_baseline_math,llama3.2,math,182,24,23,False,10593.654,2026-01-21T04:49:59.132225,
llama3.2_local_baseline_math,llama3.2,math,183,2,2,True,5946.083,2026-01-21T04:50:05.078336,
llama3.2_local_baseline_math,llama3.2,math,184,225,25,False,8534.258,2026-01-21T04:50:13.612606,
llama3.2_local_baseline_math,llama3.2,math,185,30,30,True,3766.19,2026-01-21T04:50:17.378848,
llama3.2_local_baseline_math,llama3.2,math,186,18,5,False,7863.097,2026-01-21T04:50:25.241960,
llama3.2_local_baseline_math,llama3.2,math,187,106.12,106,False,6333.584,2026-01-21T04:50:31.575575,
llama3.2_local_baseline_math,llama3.2,math,188,50,50,True,5738.464,2026-01-21T04:50:37.314052,
llama3.2_local_baseline_math,llama3.2,math,189,34,34,True,4628.0650000000005,2026-01-21T04:50:41.942141,
llama3.2_local_baseline_math,llama3.2,math,190,360,360,True,3551.2619999999997,2026-01-21T04:50:45.493421,
llama3.2_local_baseline_math,llama3.2,math,191,5,5,True,3422.31,2026-01-21T04:50:48.915745,
llama3.2_local_baseline_math,llama3.2,math,192,91,91,True,6199.775,2026-01-21T04:50:55.115537,
llama3.2_local_baseline_math,llama3.2,math,193,24,24,True,5557.762000000001,2026-01-21T04:51:00.673353,
llama3.2_local_baseline_math,llama3.2,math,194,10,10,True,3201.759,2026-01-21T04:51:03.875119,
llama3.2_local_baseline_math,llama3.2,math,195,$12,12,False,3718.795,2026-01-21T04:51:07.593943,
llama3.2_local_baseline_math,llama3.2,math,196,120,120,True,3265.0190000000002,2026-01-21T04:51:10.858980,
llama3.2_local_baseline_math,llama3.2,math,197,6277,6277,True,3397.32,2026-01-21T04:51:14.256308,
llama3.2_local_baseline_math,llama3.2,math,198,360,320,False,5921.236000000001,2026-01-21T04:51:20.177553,
llama3.2_local_baseline_math,llama3.2,math,199,15000,7500,False,5288.874,2026-01-21T04:51:25.466435,
llama3.2_local_baseline_math,llama3.2,math,200,55,55,True,4387.5380000000005,2026-01-21T04:51:29.854001,
llama3.2_local_baseline_math,llama3.2,math,201,"107,000","114,200",False,6040.465,2026-01-21T04:51:35.894477,
llama3.2_local_baseline_math,llama3.2,math,202,100,100,True,3417.279,2026-01-21T04:51:39.311799,
llama3.2_local_baseline_math,llama3.2,math,203,31,31,True,5571.879,2026-01-21T04:51:44.883691,
llama3.2_local_baseline_math,llama3.2,math,204,98,98,True,4988.51,2026-01-21T04:51:49.872215,
llama3.2_local_baseline_math,llama3.2,math,205,191,98,False,6522.984,2026-01-21T04:51:56.395211,
llama3.2_local_baseline_math,llama3.2,math,206,860,860,True,5878.4130000000005,2026-01-21T04:52:02.273684,
llama3.2_local_baseline_math,llama3.2,math,207,2600,2600,True,8891.679,2026-01-21T04:52:11.165377,
llama3.2_local_baseline_math,llama3.2,math,208,76,76,True,3509.7,2026-01-21T04:52:14.675109,
llama3.2_local_baseline_math,llama3.2,math,209,145,145,True,4881.9439999999995,2026-01-21T04:52:19.557082,
llama3.2_local_baseline_math,llama3.2,math,210,11,10,False,10667.624,2026-01-21T04:52:30.224731,
llama3.2_local_baseline_math,llama3.2,math,211,4,4,True,4496.991,2026-01-21T04:52:34.721765,
llama3.2_local_baseline_math,llama3.2,math,212,5,5,True,5329.6359999999995,2026-01-21T04:52:40.051411,
llama3.2_local_baseline_math,llama3.2,math,213,250,250,True,4926.83,2026-01-21T04:52:44.978278,
llama3.2_local_baseline_math,llama3.2,math,214,8,8,True,7564.558,2026-01-21T04:52:52.542854,
llama3.2_local_baseline_math,llama3.2,math,215,44,44,True,3726.8650000000002,2026-01-21T04:52:56.269756,
llama3.2_local_baseline_math,llama3.2,math,216,220,220,True,5014.973999999999,2026-01-21T04:53:01.284743,
llama3.2_local_baseline_math,llama3.2,math,217,15,15,True,5151.332,2026-01-21T04:53:06.436088,
llama3.2_local_baseline_math,llama3.2,math,218,45,45,True,8115.201000000001,2026-01-21T04:53:14.551330,
llama3.2_local_baseline_math,llama3.2,math,219,54,54,True,5660.156,2026-01-21T04:53:20.211502,
llama3.2_local_baseline_math,llama3.2,math,220,70,70,True,3952.301,2026-01-21T04:53:24.163822,
llama3.2_local_baseline_math,llama3.2,math,221,90,90,True,4504.361,2026-01-21T04:53:28.668241,
llama3.2_local_baseline_math,llama3.2,math,222,140,140,True,3494.317,2026-01-21T04:53:32.162574,
llama3.2_local_baseline_math,llama3.2,math,223,20000,20000,True,2978.929,2026-01-21T04:53:35.141524,
llama3.2_local_baseline_math,llama3.2,math,224,180,180,True,4302.233,2026-01-21T04:53:39.443778,
llama3.2_local_baseline_math,llama3.2,math,225,9,9,True,3552.72,2026-01-21T04:53:42.996551,
llama3.2_local_baseline_math,llama3.2,math,226,33,33,True,5311.982999999999,2026-01-21T04:53:48.308548,
llama3.2_local_baseline_math,llama3.2,math,227,$9.00,9,False,5826.668,2026-01-21T04:53:54.135225,
llama3.2_local_baseline_math,llama3.2,math,228,1,1,True,5887.0380000000005,2026-01-21T04:54:00.022295,
llama3.2_local_baseline_math,llama3.2,math,229,21,21,True,5831.420999999999,2026-01-21T04:54:05.853733,
llama3.2_local_baseline_math,llama3.2,math,230,"276,000","276,000",True,4724.455,2026-01-21T04:54:10.578240,
llama3.2_local_baseline_math,llama3.2,math,231,50,50,True,3170.073,2026-01-21T04:54:13.748331,
llama3.2_local_baseline_math,llama3.2,math,232,75,75,True,3483.227,2026-01-21T04:54:17.231570,
llama3.2_local_baseline_math,llama3.2,math,233,12,12,True,4710.3910000000005,2026-01-21T04:54:21.942249,
llama3.2_local_baseline_math,llama3.2,math,234,28,21,False,8417.482,2026-01-21T04:54:30.359798,
llama3.2_local_baseline_math,llama3.2,math,235,10,10,True,3517.369,2026-01-21T04:54:33.877191,
llama3.2_local_baseline_math,llama3.2,math,236,50,31,False,6176.426,2026-01-21T04:54:40.053646,
llama3.2_local_baseline_math,llama3.2,math,237,90,90,True,2530.413,2026-01-21T04:54:42.584072,
llama3.2_local_baseline_math,llama3.2,math,238,68,68,True,3876.909,2026-01-21T04:54:46.460988,
llama3.2_local_baseline_math,llama3.2,math,239,280,280,True,5595.535,2026-01-21T04:54:52.056541,
llama3.2_local_baseline_math,llama3.2,math,240,21,21,True,4302.648999999999,2026-01-21T04:54:56.359210,
llama3.2_local_baseline_math,llama3.2,math,241,5,6,False,3653.279,2026-01-21T04:55:00.012598,
llama3.2_local_baseline_math,llama3.2,math,242,6,3,False,8513.484999999999,2026-01-21T04:55:08.526106,
llama3.2_local_baseline_math,llama3.2,math,243,250,250,True,3898.52,2026-01-21T04:55:12.424680,
llama3.2_local_baseline_math,llama3.2,math,244,3,20,False,7342.079,2026-01-21T04:55:19.766768,
llama3.2_local_baseline_math,llama3.2,math,245,14,7,False,4585.847000000001,2026-01-21T04:55:24.352623,
llama3.2_local_baseline_math,llama3.2,math,246,27000,27000,True,6260.058,2026-01-21T04:55:30.612716,
llama3.2_local_baseline_math,llama3.2,math,247,32,32,True,3629.893,2026-01-21T04:55:34.242641,
llama3.2_local_baseline_math,llama3.2,math,248,$300,300,False,3163.475,2026-01-21T04:55:37.406134,
llama3.2_local_baseline_math,llama3.2,math,249,5600,"5,600",True,6372.177,2026-01-21T04:55:43.778347,
llama3.2_local_baseline_math,llama3.2,math,250,13,17,False,20715.45,2026-01-21T04:56:04.493808,
llama3.2_local_baseline_math,llama3.2,math,251,70,70,True,3623.182,2026-01-21T04:56:08.117022,
llama3.2_local_baseline_math,llama3.2,math,252,67,73,False,5667.579,2026-01-21T04:56:13.784655,
llama3.2_local_baseline_math,llama3.2,math,253,18,18,True,2756.4320000000002,2026-01-21T04:56:16.541107,
llama3.2_local_baseline_math,llama3.2,math,254,84,84,True,4121.014999999999,2026-01-21T04:56:20.662145,
llama3.2_local_baseline_math,llama3.2,math,255,176,192,False,4420.7429999999995,2026-01-21T04:56:25.082920,
llama3.2_local_baseline_math,llama3.2,math,256,45,45,True,4462.232,2026-01-21T04:56:29.545181,
llama3.2_local_baseline_math,llama3.2,math,257,5600,5600,True,6040.332,2026-01-21T04:56:35.585587,
