experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2_baseline_analysis,gpt-5.2,analysis,36,No,No,True,1307.536,325,57,0.00496,2026-02-07T12:26:24.816086
gpt-5.2_baseline_analysis,gpt-5.2,analysis,37,Yes,Yes,True,1936.3539999999998,374,75,0.00599,2026-02-07T12:26:26.752463
gpt-5.2_baseline_analysis,gpt-5.2,analysis,38,No,No,True,1380.8020000000001,428,60,0.00608,2026-02-07T12:26:28.133289
gpt-5.2_baseline_analysis,gpt-5.2,analysis,39,No,No,True,1072.06,250,42,0.00376,2026-02-07T12:26:29.205379
gpt-5.2_baseline_analysis,gpt-5.2,analysis,40,Yes,Yes,True,1261.684,468,50,0.00618,2026-02-07T12:26:30.467088
gpt-5.2_baseline_analysis,gpt-5.2,analysis,41,No,No,True,1054.9569999999999,354,46,0.00492,2026-02-07T12:26:31.522067
gpt-5.2_baseline_analysis,gpt-5.2,analysis,42,No,Yes,False,1175.317,348,55,0.00513,2026-02-07T12:26:32.697409
gpt-5.2_baseline_analysis,gpt-5.2,analysis,43,No,No,True,1274.251,254,54,0.00416,2026-02-07T12:26:33.971751
gpt-5.2_baseline_analysis,gpt-5.2,analysis,44,Yes,Yes,True,2091.086,302,52,0.00458,2026-02-07T12:26:36.062864
gpt-5.2_baseline_analysis,gpt-5.2,analysis,45,Yes,Yes,True,1195.326,296,52,0.00452,2026-02-07T12:26:37.258215
gpt-5.2_baseline_analysis,gpt-5.2,analysis,46,Yes,Yes,True,1359.026,325,46,0.00463,2026-02-07T12:26:38.617270
gpt-5.2_baseline_analysis,gpt-5.2,analysis,47,Yes,Yes,True,1184.364,383,45,0.005180000000000001,2026-02-07T12:26:39.801660
gpt-5.2_baseline_analysis,gpt-5.2,analysis,48,Yes,Yes,True,1207.425,389,48,0.0053300000000000005,2026-02-07T12:26:41.009108
gpt-5.2_baseline_analysis,gpt-5.2,analysis,49,No,Yes,False,1475.7450000000001,317,52,0.00473,2026-02-07T12:26:42.484877
